country1,state1,zipCode1,country2,state2,zipCode2
US,TX,75093,US,TX,77407
US,TX,75261,US,TX,77704
US,TX,79534,US,TX,75412
US,TX,75468,US,TX,75460
US,TX,77342,US,TX,76569
US,TX,75042,US,TX,78703
US,TX,78750,US,TX,78201
US,TX,75061,US,TX,75703
US,TX,77553,US,TX,79019
US,TX,75206,US,TX,79231
US,TX,77371,US,TX,88553
US,TX,76309,US,TX,79927
US,TX,78552,US,TX,78161
US,TX,79124,US,TX,78295
US,TX,76251,US,TX,78476
US,TX,77571,US,TX,78586
US,TX,78573,US,TX,75091
US,TX,79908,US,TX,77535
US,TX,75702,US,TX,75959
US,TX,78226,US,TX,77498
US,TX,75672,US,TX,75001
US,TX,77975,US,TX,75040
US,TX,75474,US,TX,76842
US,TX,79733,US,TX,77539
US,TX,76121,US,TX,75944
US,TX,77085,US,TX,76033
US,TX,75061,US,TX,77261
US,TX,79853,US,TX,78575
US,TX,75959,US,TX,75374
US,TX,77368,US,TX,75262
US,TX,79064,US,TX,76010
US,TX,76689,US,TX,77976
US,TX,76950,US,TX,76858
US,TX,78342,US,TX,75755
US,TX,76003,US,TX,76534
US,TX,76117,US,TX,75469
US,TX,79550,US,TX,77471
US,TX,75444,US,TX,77234
US,TX,78657,US,TX,75189
US,TX,78150,US,TX,77459
US,TX,79940,US,TX,76837
US,TX,76858,US,TX,75928
US,TX,79940,US,TX,77404
US,TX,79008,US,TX,77271
US,TX,78216,US,TX,76528
US,TX,76458,US,TX,77270
US,TX,75401,US,TX,79907
US,TX,78557,US,TX,79117
US,TX,78641,US,TX,79851
US,TX,78833,US,TX,78758
US,TX,79081,US,TX,79978
US,TX,75023,US,TX,78283
US,TX,78764,US,TX,77299
US,TX,75645,US,TX,77261
US,TX,76464,US,TX,75368
US,TX,75212,US,TX,76039
US,TX,78210,US,TX,77055
US,TX,78231,US,TX,76263
US,TX,75169,US,TX,77353
US,TX,78287,US,TX,75381
US,TX,78632,US,TX,76824
US,TX,75833,US,TX,77990
US,TX,77583,US,TX,75668
US,TX,79313,US,TX,76684
US,TX,79744,US,TX,75063
US,TX,79546,US,TX,75019
US,TX,78883,US,TX,79704
US,TX,76798,US,TX,76137
US,TX,77270,US,TX,79410
US,TX,77280,US,TX,76255
US,TX,79034,US,TX,76641
US,TX,77079,US,TX,75053
US,TX,76177,US,TX,78112
US,TX,75935,US,TX,76657
US,TX,79054,US,TX,77072
US,TX,75691,US,TX,75833
US,TX,77229,US,TX,75488
US,TX,75164,US,TX,78162
US,TX,77460,US,TX,76016
US,TX,79556,US,TX,75166
US,TX,77267,US,TX,78842
US,TX,76711,US,TX,79553
US,TX,76053,US,TX,78960
US,TX,76569,US,TX,76884
US,TX,77058,US,TX,75044
US,TX,78883,US,TX,76271
US,TX,79185,US,TX,79702
US,TX,78745,US,TX,78001
US,TX,76166,US,TX,79763
US,TX,77076,US,TX,77066
US,TX,79504,US,TX,77480
US,TX,75933,US,TX,77512
US,TX,75103,US,TX,77853
US,TX,77988,US,TX,75413
US,TX,78063,US,TX,78225
US,TX,77880,US,TX,77491
US,TX,75315,US,TX,75393
US,TX,76129,US,TX,79068
US,TX,75976,US,TX,79951
US,TX,79312,US,TX,77415
